code,location,interlevel,original
010000000,REGION I (ILOCOS REGION),Reg,True
010000000,ILOCOS REGION,Reg,False
010000000,REGION 1,Reg,False
010000000,REGION I,Reg,False
012800000,ILOCOS NORTE,Prov,True
012801000,ADAMS,Mun,True
012801001,ADAMS (POB.),Bgy,True
012801001,ADAMS,Bgy,False
012802000,BACARRA,Mun,True
012802001,BANI,Bgy,True
012802002,BUYON,Bgy,True
012802003,CABARUAN,Bgy,True
012802004,CABULALAAN,Bgy,True
012802005,CABUSLIGAN,Bgy,True
012802006,CADARATAN,Bgy,True
012802007,CALIOET-LIBONG,Bgy,True
012802008,CASILIAN,Bgy,True
012802009,COROCOR,Bgy,True
012802011,DURIPES,Bgy,True
012802012,GANAGAN,Bgy,True
012802013,LIBTONG,Bgy,True
012802014,MACUPIT,Bgy,True
012802015,NAMBARAN,Bgy,True
012802016,NATBA,Bgy,True
012802017,PANINAAN,Bgy,True
012802018,PASIOCAN,Bgy,True
012802019,PASNGAL,Bgy,True
012802020,PIPIAS,Bgy,True
012802021,PULANGI,Bgy,True
012802022,PUNGTO,Bgy,True
012802024,SAN AGUSTIN I,Bgy,False
012802024,SAN AGUSTIN 1,Bgy,False
012802024,SAN AGUSTIN I (POB.),Bgy,True
012802025,SAN AGUSTIN II (POB.),Bgy,True
012802025,SAN AGUSTIN 2,Bgy,False
012802025,SAN AGUSTIN II,Bgy,False
012802027,SAN ANDRES I (POB.),Bgy,True
012802027,SAN ANDRES 1,Bgy,False
012802027,SAN ANDRES I,Bgy,False
012802028,SAN ANDRES II,Bgy,False
012802028,SAN ANDRES 2,Bgy,False
012802028,SAN ANDRES II (POB.),Bgy,True
012802030,SAN GABRIEL I (POB.),Bgy,True
012802030,SAN GABRIEL 1,Bgy,False
012802030,SAN GABRIEL I,Bgy,False
012802031,SAN GABRIEL 2,Bgy,False
012802031,SAN GABRIEL II (POB.),Bgy,True
012802031,SAN GABRIEL II,Bgy,False
012802033,SAN PEDRO 1,Bgy,False
012802033,SAN PEDRO I,Bgy,False
012802033,SAN PEDRO I (POB.),Bgy,True
012802034,SAN PEDRO II (POB.),Bgy,True
012802034,SAN PEDRO 2,Bgy,False
