,Province,Municities,Barangay,Total
0,ABRA,BANGUED (CAPITAL),AGTANGAO, 58 
1,ABRA,BANGUED (CAPITAL),ANGAD, 52 
2,ABRA,BANGUED (CAPITAL),BAÑACAO, 23 
3,ABRA,BANGUED (CAPITAL),BANGBANGAR, 36 
4,ABRA,BANGUED (CAPITAL),CABULOAN, 15 
5,ABRA,BANGUED (CAPITAL),CALABA, 76 
6,ABRA,BANGUED (CAPITAL),COSILI EAST (PROPER), 15 
7,ABRA,BANGUED (CAPITAL),COSILI WEST (BUAYA), 26 
8,ABRA,BANGUED (CAPITAL),DANGDANGLA, 16 
9,ABRA,BANGUED (CAPITAL),LINGTAN, 17 
10,ABRA,BANGUED (CAPITAL),LIPCAN, 40 
11,ABRA,BANGUED (CAPITAL),LUBONG, 15 
12,ABRA,BANGUED (CAPITAL),MACARCARMAY, 12 
13,ABRA,BANGUED (CAPITAL),MACRAY, 18 
14,ABRA,BANGUED (CAPITAL),MALITA, 8 
15,ABRA,BANGUED (CAPITAL),MAOAY, 10 
16,ABRA,BANGUED (CAPITAL),PALAO, 37 
17,ABRA,BANGUED (CAPITAL),PATUCANNAY, 30 
18,ABRA,BANGUED (CAPITAL),SAGAP, 7 
19,ABRA,BANGUED (CAPITAL),SAN ANTONIO, 18 
20,ABRA,BANGUED (CAPITAL),SANTA ROSA, 35 
21,ABRA,BANGUED (CAPITAL),SAO-ATAN, 11 
22,ABRA,BANGUED (CAPITAL),SAPPAAC, 15 
23,ABRA,BANGUED (CAPITAL),TABLAC (CALOT), 19 
24,ABRA,BANGUED (CAPITAL),ZONE 1 POB. (NALASIN), 45 
25,ABRA,BANGUED (CAPITAL),ZONE 2 POB. (CONSILIMAN), 27 
26,ABRA,BANGUED (CAPITAL),ZONE 3 POB. (LALAUD), 53 
27,ABRA,BANGUED (CAPITAL),ZONE 4 POB. (TOWN PROPER), 26 
28,ABRA,BANGUED (CAPITAL),ZONE 5 POB. (BO. BARIKIR), 59 
29,ABRA,BANGUED (CAPITAL),ZONE 6 POB. (SINAPANGAN), 51 
30,ABRA,BANGUED (CAPITAL),ZONE 7 POB. (BALILING), 79 
31,ABRA,BOLINEY,AMTI, 3 
32,ABRA,BOLINEY,BAO-YAN, 6 
33,ABRA,BOLINEY,DANAC EAST, 4 
34,ABRA,BOLINEY,DANAC WEST, 11 
35,ABRA,BOLINEY,DAO-ANGAN, 3 
36,ABRA,BOLINEY,DUMAGAS, 6 
37,ABRA,BOLINEY,KILONG-OLAO, 1 
38,ABRA,BOLINEY,POBLACION (BOLINEY), 5 
39,ABRA,BUCAY,ABANG, 10 
40,ABRA,BUCAY,BANGBANGCAG, 9 
41,ABRA,BUCAY,BANGCAGAN, 7 
42,ABRA,BUCAY,BANGLOLAO, 8 
43,ABRA,BUCAY,BUGBOG, 15 
44,ABRA,BUCAY,CALAO, 11 
45,ABRA,BUCAY,DUGONG, 18 
46,ABRA,BUCAY,LABON, 13 
47,ABRA,BUCAY,LAYUGAN, 9 
48,ABRA,BUCAY,MADALIPAY, 6 
49,ABRA,BUCAY,NORTH POBLACION, 12 
50,ABRA,BUCAY,PAGALA, 18 
51,ABRA,BUCAY,PAKILING, 9 
52,ABRA,BUCAY,PALAQUIO, 10 
53,ABRA,BUCAY,PATOC, 6 
54,ABRA,BUCAY,QUIMLOONG, 7 
55,ABRA,BUCAY,SALNEC, 5 
56,ABRA,BUCAY,SAN MIGUEL, 8 
57,ABRA,BUCAY,SIBLONG, 16 
58,ABRA,BUCAY,SOUTH POBLACION, 19 
59,ABRA,BUCAY,TABIOG, 17 
60,ABRA,BUCLOC,DUCLIGAN, 4 
61,ABRA,BUCLOC,LABAAN, 10 
62,ABRA,BUCLOC,LAMAO (POB.), 9 
63,ABRA,BUCLOC,LINGAY, 4 
64,ABRA,DAGUIOMAN,CABARUYAN, 5 
65,ABRA,DAGUIOMAN,PIKEK, 5 
66,ABRA,DAGUIOMAN,TUI (POB.), 9 
67,ABRA,DANGLAS,ABAQUID, 1 
68,ABRA,DANGLAS,CABARUAN, 14 
69,ABRA,DANGLAS,CAUPASAN (POB.), 14 
70,ABRA,DANGLAS,DANGLAS, 8 
71,ABRA,DANGLAS,NAGAPARAN, 12 
72,ABRA,DANGLAS,PADANGITAN, 11 
73,ABRA,DANGLAS,PANGAL, 7 
74,ABRA,DOLORES,BAYAAN, 4 
75,ABRA,DOLORES,CABAROAN, 4 
76,ABRA,DOLORES,CALUMBAYA, 5 
77,ABRA,DOLORES,CARDONA, 6 
78,ABRA,DOLORES,ISIT, 11 
79,ABRA,DOLORES,KIMMALABA, 18 
80,ABRA,DOLORES,LIBTEC, 6 
81,ABRA,DOLORES,LUB-LUBBA, 1 
82,ABRA,DOLORES,MUDIIT, 25 
83,ABRA,DOLORES,NAMIT-INGAN, 8 
84,ABRA,DOLORES,PACAC, 7 
85,ABRA,DOLORES,POBLACION, 32 
86,ABRA,DOLORES,SALUCAG, 6 
87,ABRA,DOLORES,TALOGTOG, 15 
88,ABRA,DOLORES,TAPING, 2 
89,ABRA,LA PAZ,BENBEN (BONBON), 2 
90,ABRA,LA PAZ,BULBULALA, 21 
91,ABRA,LA PAZ,BULI, 22 
92,ABRA,LA PAZ,CANAN (GAPAN), 7 
93,ABRA,LA PAZ,LIGUIS, 7 
94,ABRA,LA PAZ,MALABBAGA, 23 
95,ABRA,LA PAZ,MUDENG, 11 
96,ABRA,LA PAZ,PIDIPID, 11 
97,ABRA,LA PAZ,POBLACION, 46 
98,ABRA,LA PAZ,SAN GREGORIO, 6 
99,ABRA,LA PAZ,TOON, 7 
100,ABRA,LA PAZ,UDANGAN, 3 
101,ABRA,LACUB,BACAG, 1 
102,ABRA,LACUB,BUNEG, 4 
103,ABRA,LACUB,GUINGUINABANG, 3 
104,ABRA,LACUB,LAN-AG, 2 
105,ABRA,LACUB,PACOC, 1 
106,ABRA,LACUB,POBLACION (TALAMPAC), 19 
107,ABRA,LAGANGILANG,AGUET, 4 
108,ABRA,LAGANGILANG,BACOOC, 2 
109,ABRA,LAGANGILANG,BALAIS, 8 
110,ABRA,LAGANGILANG,CAYAPA, 13 
111,ABRA,LAGANGILANG,DALAGUISEN, 11 
112,ABRA,LAGANGILANG,LAANG, 17 
113,ABRA,LAGANGILANG,LAGBEN, 4 
