source_brgy,expected_brgy,source_municity,expected_municity,source_prov,expected_prov,expected_psgc,expected_match_type
,,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201000,Exact
Abilan,ABILAN,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201001,Exact
Agong-ong,AGONG-ONG,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201002,Exact
Alubijid,ALUBIJID,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201003,Exact
Guinabsan,GUINABSAN,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201004,Exact
Lower Olave,LOWER OLAVE,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201027,Exact
Macalang,MACALANG,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201007,Exact
Malapong,MALAPONG,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201008,Exact
Malpoc,MALPOC,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201009,Exact
Manapa,MANAPA,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201010,Exact
Matabao,MATABAO,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201011,Exact
Poblacion 1 (Buenavista),POBLACION 1,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201013,Ambiguous
Poblacion 10 (Buenavista),POBLACION 10,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201022,Ambiguous
Poblacion 2 (Buenavista),POBLACION 2,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201014,Ambiguous
Poblacion 3 (Buenavista),POBLACION 3,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201015,Ambiguous
Poblacion 4 (Buenavista),POBLACION 4,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201016,Ambiguous
Poblacion 5 (Buenavista),POBLACION 5,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201017,Ambiguous
Poblacion 6 (Buenavista),POBLACION 6,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201018,Ambiguous
Poblacion 7 (Buenavista),POBLACION 7,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201019,Ambiguous
Poblacion 8 (Buenavista),POBLACION 8,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201020,Ambiguous
Poblacion 9 (Buenavista),POBLACION 9,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201021,Ambiguous
Rizal,RIZAL,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201023,Exact
Sacol,SACOL,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201024,Exact
Sangay (Buenavista),SANGAY,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201025,Ambiguous
Simbalan,SIMBALAN,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201028,Exact
Talo-ao,TALO-AO,BUENAVISTA,BUENAVISTA,Agusan del Norte,AGUSAN DEL NORTE,160201026,Exact
,,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203000,Exact
Antonio Luna,ANTONIO LUNA,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203002,Exact
Bayabas,BAYABAS,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203006,Exact
Bay-ang,BAY-ANG,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203005,Exact
Caasinan,CAASINAN,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203007,Exact
Cabinet,CABINET,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203009,Exact
Calamba,CALAMBA,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203010,Exact
Calibunan,CALIBUNAN,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203011,Exact
Comagascas,COMAGASCAS,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203012,Exact
Concepcion,CONCEPCION,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203013,Exact
Del Pilar,DEL PILAR,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203014,Exact
Katugasan,KATUGASAN,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203016,Exact
Kauswagan,KAUSWAGAN,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203017,Exact
La Union,LA UNION,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203018,Exact
Mabini,MABINI,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203019,Exact
Mahaba,MAHABA,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203041,Exact
Poblacion 1 (Cabadbaran),POBLACION 1,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203021,Ambiguous
Poblacion 10 (Cabadbaran),POBLACION 10,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203022,Ambiguous
Poblacion 11,POBLACION 11,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203023,Exact
Poblacion 12,POBLACION 12,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203024,Exact
Poblacion 2 (Cabadbaran),POBLACION 2,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203025,Ambiguous
Poblacion 3 (Cabadbaran),POBLACION 3,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203026,Ambiguous
Poblacion 4 (Cabadbaran),POBLACION 4,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203027,Ambiguous
Poblacion 5 (Cabadbaran),POBLACION 5,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203028,Ambiguous
Poblacion 6 (Cabadbaran),POBLACION 6,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203029,Ambiguous
Poblacion 7 (Cabadbaran),POBLACION 7,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203030,Ambiguous
Poblacion 8 (Cabadbaran),POBLACION 8,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203031,Ambiguous
Poblacion 9 (Cabadbaran),POBLACION 9,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203032,Ambiguous
Puting Bato,PUTING BATO,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203033,Exact
Sanghan,SANGHAN,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203037,Exact
Soriano,SORIANO,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203038,Exact
Tolosa,TOLOSA,CABADBARAN,CABADBARAN,Agusan del Norte,AGUSAN DEL NORTE,160203040,Exact
,,CARMEN,CARMEN,Agusan del Norte,AGUSAN DEL NORTE,160204000,Exact
Cahayagan,CAHAYAGAN,CARMEN,CARMEN,Agusan del Norte,AGUSAN DEL NORTE,160204001,Exact
Gosoon,GOSOON,CARMEN,CARMEN,Agusan del Norte,AGUSAN DEL NORTE,160204002,Exact
Manoligao,MANOLIGAO,CARMEN,CARMEN,Agusan del Norte,AGUSAN DEL NORTE,160204004,Exact
Poblacion (Carmen),POBLACION,CARMEN,CARMEN,Agusan del Norte,AGUSAN DEL NORTE,160204009,Ambiguous
Rojales,ROJALES,CARMEN,CARMEN,Agusan del Norte,AGUSAN DEL NORTE,160204010,Exact
San Agustin,SAN AGUSTIN,CARMEN,CARMEN,Agusan del Norte,AGUSAN DEL NORTE,160204011,Exact
Tagcatong,TAGCATONG,CARMEN,CARMEN,Agusan del Norte,AGUSAN DEL NORTE,160204012,Exact
Vinapor,VINAPOR,CARMEN,CARMEN,Agusan del Norte,AGUSAN DEL NORTE,160204014,Exact
,,JABONGA,JABONGA,Agusan del Norte,AGUSAN DEL NORTE,160205000,Exact
A. Beltran (Camalig),A. BELTRAN,JABONGA,JABONGA,Agusan del Norte,AGUSAN DEL NORTE,160205003,Ambiguous
Baleguian,BALEGUIAN,JABONGA,JABONGA,Agusan del Norte,AGUSAN DEL NORTE,160205001,Exact
Bangonay,BANGONAY,JABONGA,JABONGA,Agusan del Norte,AGUSAN DEL NORTE,160205002,Exact
Bunga,BUNGA,JABONGA,JABONGA,Agusan del Norte,AGUSAN DEL NORTE,160205004,Exact
Colorado,COLORADO,JABONGA,JABONGA,Agusan del Norte,AGUSAN DEL NORTE,160205005,Exact
Cuyago,CUYAGO,JABONGA,JABONGA,Agusan del Norte,AGUSAN DEL NORTE,160205006,Exact
Libas,LIBAS,JABONGA,JABONGA,Agusan del Norte,AGUSAN DEL NORTE,160205007,Exact
Magdagooc,MAGDAGOOC,JABONGA,JABONGA,Agusan del Norte,AGUSAN DEL NORTE,160205008,Exact
Magsaysay,MAGSAYSAY,JABONGA,JABONGA,Agusan del Norte,AGUSAN DEL NORTE,160205009,Exact
Maraiging,MARAIGING,JABONGA,JABONGA,Agusan del Norte,AGUSAN DEL NORTE,160205010,Exact
Poblacion (Jabonga),POBLACION,JABONGA,JABONGA,Agusan del Norte,AGUSAN DEL NORTE,160205011,Ambiguous
San Jose,SAN JOSE,JABONGA,JABONGA,Agusan del Norte,AGUSAN DEL NORTE,160205012,Exact
San Pablo,SAN PABLO,JABONGA,JABONGA,Agusan del Norte,AGUSAN DEL NORTE,160205013,Exact
San Vicente,SAN VICENTE,JABONGA,JABONGA,Agusan del Norte,AGUSAN DEL NORTE,160205014,Exact
Santo Nino (Jabonga),SANTO NINO,JABONGA,JABONGA,Agusan del Norte,AGUSAN DEL NORTE,160205015,Ambiguous
,,KITCHARAO,KITCHARAO,Agusan del Norte,AGUSAN DEL NORTE,160206000,Exact
Bangayan,BANGAYAN,KITCHARAO,KITCHARAO,Agusan del Norte,AGUSAN DEL NORTE,160206001,Exact
Canaway,CANAWAY,KITCHARAO,KITCHARAO,Agusan del Norte,AGUSAN DEL NORTE,160206002,Exact
Hinimbangan,HINIMBANGAN,KITCHARAO,KITCHARAO,Agusan del Norte,AGUSAN DEL NORTE,160206003,Exact
Jaliobong,JALIOBONG,KITCHARAO,KITCHARAO,Agusan del Norte,AGUSAN DEL NORTE,160206004,Exact
Mahayahay,MAHAYAHAY,KITCHARAO,KITCHARAO,Agusan del Norte,AGUSAN DEL NORTE,160206005,Exact
Poblacion (Kitcharao),POBLACION,KITCHARAO,KITCHARAO,Agusan del Norte,AGUSAN DEL NORTE,160206006,Ambiguous
