metricCandidateGen,metricTopMatch,metricGen
72407,8650,3041
16657,2087,16458
729,868,643
290,329,237
675,622,597
448,188,388
597,831,538
680,515,614
387,400,332
1321,1486,1234
875,758,795
888,1026,799
1203,808,1110
669,527,603
520,536,461
858,894,730
832,1222,701
763,776,665
733,708,653
635,543,570
746,600,660
382,2792,196
835,1046,705
394,346,337
448,636,366
717,1259,654
1335,10650,1224
235,184,176
461,821,387
1685,1949,1603
913,736,829
294,322,197
798,1126,717
532,587,449
228,261,155
217,1271,124
196,519,92
190,216,141
161,659,107
98,216,64
398,1529,319
511,511,453
792,561,696
502,447,448
272,755,213
245,2076,179
914,806,824
768,760,693
801,824,693
816,944,725
793,805,707
1091,844,962
660,492,583
393,431,338
8609,1435,8334
1533,1566,1368
369,502,257
382,1679,319
669,1069,500
459,1399,388
892,1484,667
403,271,342
368,331,327
569,575,124
251,1347,137
164,114,111
106,121,76
253,486,207
203,149,167
132,180,96
169,792,127
1004,1386,924
123,175,76
392,4002,262
1060,1299,894
149,150,95
211,2239,108
224,262,152
216,203,174
289,207562,113
159,483,93
167,3387,69
253,181,203
90,77,64
727,942,679
499,522,395
138,171,106
122,186,92
166,771,110
320,258,277
342,306,301
306,253,270
214,174,185
100,87,75
500,575,458
238,324,172
122,288,72
178,168,129
88,84,57
236,709,208
661,658,614
139,542,90
143,279,109
176,609,128
122,96,86
76,61,60
463,502,429
561,379,472
228,157,206
78,380,46
396,330,346
348,383,313
174,99,120
76,157,50
515,964,471
486,723,388
411,449,344
295,514,250
327,307,287
337,272,302
204,885,145
244,702,201
197,213,146
1081,1090,1038
223,404,180
92,104,67
332,1486,261
320,1003,209
388,1030,302
365,1469,276
3429,2975,217
2880,2418,1583
412,2106,309
488,441,382
98,129,72
365,474,337
153,215,119
146,171,121
580,1193,524
320,286,254
359,980,249
97,85,63
238,194,215
145,456,115
100,106,72
124,196,93
475,247,425
304,285,255
312,0,289
287,2644,123
186,185,143
128,597,80
245,439,201
307,216,277
173,200,144
135,727,87
317,1203,243
314,252,277
298,305,273
161,201,128
696,935,658
371,477,327
195,266,162
144,131,121
156,91,139
108,74,95
269,322,245
169,114,152
172,113,150
127,92,114
90,69,56
76,57,59
88,102,72
62,329,33
989,1170,881
3970,215,71
592,566,535
317,256,284
290,274,243
169,209,145
78,69,62
81,59,70
182,187,163
434,443,410
59,44,43
235,135,201
73,69,56
261,168,210
266,193,233
120,108,100
318,706,268
199,169,130
92,80,73
97,107,79
95,79,76
80,83,62
70,70,53
71,78,55
417,1150,367
254,92,145
107,113,87
109,119,93
178,112,162
72,234,56
240,261,208
171,104,156
212,133,199
178,110,166
140,1509,51
135,86,106
120,281,97
102,71,89
74,64,62
105,220,83
280,315,245
72,101,46
127,113,107
639,687,584
267,339,226
90,65,73
50,111,33
61,325,36
133,85,119
69,89,56
47,58,36
159,108,145
92,437,60
90,345,56
72,90,54
75,306,48
249,231,225
66,147,48
140,171,122
70,71,56
377,399,341
81,142,57
74,81,56
78,290,56
200,171,171
65,70,45
92,71,79
352,323,332
121,167,99
838,457,776
67,166,41
94,264,75
152,218,105
264,318,235
98,96,78
1128,1402,1043
722,960,674
439,852,372
127,209,79
80,97,60
173,338,138
161,277,76
769,1453,679
145,67,78
239,354,210
256,257,224
77,70,60
187,130,175
51,93,37
288,329,264
154,106,139
155,100,144
73,63,61
140,96,131
62,436,38
93,77,61
670,204,613
77,85,59
115,84,100
50,40,41
191,182,176
77,104,65
