brgy,municity,prov,score
,,ILOCOS NORTE,1.00
ABACA,BANGUI,ILOCOS NORTE,1.00
BACSIL,BANGUI,ILOCOS NORTE,1.00
BANBAN,BANGUI,ILOCOS NORTE,1.00
MANAYON,BANGUI,ILOCOS NORTE,1.00
LANAO,BANGUI,ILOCOS NORTE,1.00
SAN LORENZO,BANGUI,ILOCOS NORTE,1.00
BARUYEN,BANGUI,ILOCOS NORTE,1.00
BARUYEN,BANGUI,ILOCOS NORTE,1.00
DADAOR,BANGUI,ILOCOS NORTE,1.00
LANAO,BANGUI,ILOCOS NORTE,1.00
MALASIN,BANGUI,ILOCOS NORTE,1.00
MASIKIL,BANGUI,ILOCOS NORTE,1.00
MASIKIL,BANGUI,ILOCOS NORTE,1.00
NAGBALAGAN,BANGUI,ILOCOS NORTE,1.00
PAYAC,BANGUI,ILOCOS NORTE,1.00
PAYAC,BANGUI,ILOCOS NORTE,1.00
TAGUIPORO,BANGUI,ILOCOS NORTE,1.00
,,,
,,,
,,,
,,,
SANTA RITA,BACARRA,ILOCOS NORTE,0.88
SANTA RITA,BACARRA,ILOCOS NORTE,0.88
SANTA RITA,BACARRA,ILOCOS NORTE,0.88
SANTA RITA,BACARRA,ILOCOS NORTE,0.88
,,,
GARRETA,BADOC,ILOCOS NORTE,1.00
GARRETA,BADOC,ILOCOS NORTE,1.00
,BANGUI,ILOCOS NORTE,1.00
ABACA,BANGUI,ILOCOS NORTE,1.00
BACSIL,BANGUI,ILOCOS NORTE,1.00
BANBAN,BANGUI,ILOCOS NORTE,1.00
MANAYON,BANGUI,ILOCOS NORTE,1.00
LANAO,BANGUI,ILOCOS NORTE,1.00
SAN LORENZO,BANGUI,ILOCOS NORTE,1.00
BARUYEN,BANGUI,ILOCOS NORTE,1.00
BARUYEN,BANGUI,ILOCOS NORTE,1.00
DADAOR,BANGUI,ILOCOS NORTE,1.00
LANAO,BANGUI,ILOCOS NORTE,1.00
MALASIN,BANGUI,ILOCOS NORTE,1.00
MASIKIL,BANGUI,ILOCOS NORTE,1.00
MASIKIL,BANGUI,ILOCOS NORTE,1.00
NAGBALAGAN,BANGUI,ILOCOS NORTE,1.00
PAYAC,BANGUI,ILOCOS NORTE,1.00
PAYAC,BANGUI,ILOCOS NORTE,1.00
TAGUIPORO,BANGUI,ILOCOS NORTE,1.00
VALDEZ,BATAC,ILOCOS NORTE,1.00
BIL-LOCA,BATAC,ILOCOS NORTE,1.00
RICARTE POB. NALASIN,BATAC,ILOCOS NORTE,1.00
VALDEZ,BATAC,ILOCOS NORTE,1.00
VALDEZ,BATAC,ILOCOS NORTE,1.00
ABLAN POB. LABUCAO,BATAC,ILOCOS NORTE,1.00
CANGRUNAAN POB.,BATAC,ILOCOS NORTE,1.00
NAGUIRANGAN,BATAC,ILOCOS NORTE,1.00
,,,
,,,
CALLAGUIP,BATAC,ILOCOS NORTE,1.00
SAN JULIAN POB.,BATAC,ILOCOS NORTE,1.00
CAUNAYAN,BATAC,ILOCOS NORTE,1.00
ACOSTA,BATAC,ILOCOS NORTE,1.00
ACOSTA,BATAC,ILOCOS NORTE,1.00
AGLIPAY,BATAC,ILOCOS NORTE,1.00
LACUB POB.,BATAC,ILOCOS NORTE,1.00
BARANI POB.,BATAC,ILOCOS NORTE,1.00
BEN-AGAN POB.,BATAC,ILOCOS NORTE,0.94
PALPALICONG,BATAC,ILOCOS NORTE,1.00
BAAY,BATAC,ILOCOS NORTE,1.00
BUNGON,BATAC,ILOCOS NORTE,1.00
BALIGAT,BATAC,ILOCOS NORTE,1.00
BALIGAT,BATAC,ILOCOS NORTE,1.00
QUILING NORTE,BATAC,ILOCOS NORTE,1.00
QUILING SUR,BATAC,ILOCOS NORTE,1.00
QUILING SUR,BATAC,ILOCOS NORTE,1.00
TABUG,BATAC,ILOCOS NORTE,1.00
TABUG,BATAC,ILOCOS NORTE,1.00
TABUG,BATAC,ILOCOS NORTE,1.00
MAGNUANG,BATAC,ILOCOS NORTE,1.00
MAGNUANG,BATAC,ILOCOS NORTE,1.00
PIMENTEL,BATAC,ILOCOS NORTE,1.00
PIMENTEL,BATAC,ILOCOS NORTE,1.00
PIMENTEL,BATAC,ILOCOS NORTE,1.00
COLO,BATAC,ILOCOS NORTE,1.00
COLO,BATAC,ILOCOS NORTE,1.00
MABALENG,BATAC,ILOCOS NORTE,1.00
QUIOM,BATAC,ILOCOS NORTE,1.00
MAIPALIG,BATAC,ILOCOS NORTE,1.00
QUIOM,BATAC,ILOCOS NORTE,1.00
BININGAN,BATAC,ILOCOS NORTE,1.00
BININGAN,BATAC,ILOCOS NORTE,1.00
SUMADER,BATAC,ILOCOS NORTE,1.00
SUMADER,BATAC,ILOCOS NORTE,1.00
CAMGUIDAN,BATAC,ILOCOS NORTE,1.00
PAYAO,BATAC,ILOCOS NORTE,1.00
PAYAO,BATAC,ILOCOS NORTE,1.00
PAYAO,BATAC,ILOCOS NORTE,1.00
PARANGOPONG,BATAC,ILOCOS NORTE,1.00
,,,
CAPACUAN,BATAC,ILOCOS NORTE,1.00
NAGUIRANGAN,BATAC,ILOCOS NORTE,1.00
NAGUIRANGAN,BATAC,ILOCOS NORTE,1.00
NAGUIRANGAN,BATAC,ILOCOS NORTE,1.00
SAN MATEO,BATAC,ILOCOS NORTE,1.00
SAN MATEO,BATAC,ILOCOS NORTE,1.00
